event_type,n_events,duration_median_min,duration_p75_min,duration_p90_min,duration_p99_min,nonpositive_rate,gt_24hr_rate
Disabled Vehicle,226352,6.0,19.0,39.0,103.0,4.417897787516788e-06,4.417897787516788e-06
Collision,62974,29.0,53.0,89.0,295.0,0.0,0.00012703655476863467
Road Maintenance Operations,62292,23381.5,59513.5,131302.40000000002,486908.70999999996,1.6053425801065946e-05,0.7783182431130803
Obstructions,50556,13.0,32.0,92.0,394.0,0.0,0.0014835034417279849
Alert,28551,107.0,420.0,1430.0,24211.0,0.0,0.0810129242408322
Incident,25397,25.0,132.0,378.0,1441.0400000000009,0.0,0.01011930542977517
Injuries Involved,19135,50.0,78.0,126.0,335.0,0.0,0.0001567807682257643
Traffic Signal Not Working,15582,150.0,401.75,3237.0,28975.04000000011,0.0,0.1560133487357207
Emergency Roadwork,6539,145.0,298.0,437.0,1323.9599999999991,0.0,0.00871692919406637
Animal Struck,6059,2.0,5.0,48.0,888.4200000000001,0.0,0.0028057435220333387
Vehicle On Fire,3337,28.0,53.0,91.0,313.6399999999999,0.0,0.0
Traffic Congestion,2893,72.0,168.0,297.8000000000002,570.9599999999991,0.0,0.0
Medical Emergency,2504,20.0,34.0,52.0,124.0,0.0,0.0
Flood,1827,160.0,491.5,1354.4,3006.2800000000007,0.0,0.09085933223864258
Special Event,1476,600.0,758.25,963.0,7307.25,0.0,0.06504065040650407
Strong Winds,1120,306.5,630.0,1016.6000000000004,2270.0599999999986,0.0,0.04375
Visibility Reduced,661,333.0,681.0,1237.0,2664.7999999999997,0.0,0.060514372163388806
Winter Road Report,474,292.0,578.25,1283.8999999999994,3147.089999999999,0.0,0.08016877637130802
Utility Work,135,113.0,292.0,1080.4,6019.239999999997,0.0,0.07407407407407407
Congestion,114,6.0,134.75,2691.5000000000005,11820.03000000001,0.0,0.13157894736842105
